fact_id,question,template,gold_answer,direct_model_answer,relative_model_answer,direct_correct,relative_correct,model
run_0009,Identify the middle event chronologically.,order.middle,First Commercial Jet Flight,Women's Suffrage in U.S.,Women's Suffrage in U.S.,0,0,gemini:gemini-2.0-flash
run_0009,What is the average duration of all events?,dur.average,18 days,23 days,21 days,0,0,gemini:gemini-2.0-flash
run_0009,List events with durations in ascending order.,dur.each_asc,"Mars rover Spirit lands, First Commercial Jet Flight, Sputnik 1 launched, First World Series played, Individuals with Disabilities Education Act, Aspirin patented, Wealth of Nations published, First Podcast Released, Women's Suffrage in U.S., First rover on Mars, Introduction of High-Speed Rail","Mars rover Spirit lands, First Commercial Jet Flight, First Podcast Released, First World Series played, Individuals with Disabilities Education Act, Women's Suffrage in U.S., Aspirin patented, First rover on Mars, Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail","""First Commercial Jet Flight"", ""Mars rover Spirit lands"", ""Sputnik 1 launched"", ""Individuals with Disabilities Education Act"", ""Aspirin patented"", ""First Podcast Released"", ""Women's Suffrage in U.S."", ""First rover on Mars"", ""Introduction of High-Speed Rail""",0,0,gemini:gemini-2.0-flash
run_0009,"Which events, sorted by decreasing duration, occurred?",dur.each_desc,"Introduction of High-Speed Rail, Women's Suffrage in U.S., First rover on Mars, First Podcast Released, Wealth of Nations published, Aspirin patented, Individuals with Disabilities Education Act, First World Series played, Sputnik 1 launched, Mars rover Spirit lands, First Commercial Jet Flight","First World Series played, Introduction of High-Speed Rail, First rover on Mars, Wealth of Nations published, Aspirin patented, Women's Suffrage in U.S., Individuals with Disabilities Education Act, Sputnik 1 launched, First Podcast Released, First Commercial Jet Flight, Mars rover Spirit lands","Introduction of High-Speed Rail, Women's Suffrage in U.S., First rover on Mars, Aspirin patented, First Podcast Released, Wealth of Nations published, Individuals with Disabilities Education Act, Sputnik 1 launched, First World Series played, First Commercial Jet Flight, Mars rover Spirit lands",0,0,gemini:gemini-2.0-flash
run_0009,How many days separate each successive event?,int.between_consecutive,"19 days, 2 days, 10 days, 11 days, 3 days, 7 days, 12 days, 19 days, 1 days, 6 days","46 days, 135 days, 7 days, 259 days, 8 days, 9 days, 13 days, 15 days, 15 days, 13 days","20 days, 3 days, 11 days, 12 days, 4 days, 8 days, 13 days, 20 days, 2 days, 7 days",0,1,gemini:gemini-2.0-flash
run_0009,"Which comes first, Aspirin patented or Mars rover Spirit lands?",int.precedes,yes,Aspirin patented,Aspirin patented,0,0,gemini:gemini-2.0-flash
run_0009,What events fall between Introduction of High-Speed Rail and First World Series played?,list.between,"Aspirin patented, Women's Suffrage in U.S., Mars rover Spirit lands, First Podcast Released, First Commercial Jet Flight, First rover on Mars, Individuals with Disabilities Education Act, Wealth of Nations published, Sputnik 1 launched",,,0,0,gemini:gemini-2.0-flash
run_0010,What is the chronological sequence of events?,order.full,"First airplane flight, First 3D printer invented, Haiti earthquake, Human genome project completed, Hubble Space Telescope launched, Beowulf manuscript created, Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First radio transmission","First airplane flight, First 3D printer invented, Haiti earthquake, Human genome project completed, Hubble Space Telescope launched, Beowulf manuscript created, Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First radio transmission","First airplane flight, First 3D printer invented, Haiti earthquake, Human genome project completed, Hubble Space Telescope launched, Beowulf manuscript created, Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First radio transmission",1,1,gemini:gemini-2.0-flash
run_0010,List the events in reverse chronological order.,order.reverse,"First radio transmission, Brexit Referendum, Rwandan Genocide begins, Harvard College Founded, Woodstock Festival begins, Beowulf manuscript created, Hubble Space Telescope launched, Human genome project completed, Haiti earthquake, First 3D printer invented, First airplane flight","First radio transmission, Brexit Referendum, Rwandan Genocide begins, Harvard College Founded, Woodstock Festival begins, Beowulf manuscript created, Hubble Space Telescope launched, Human genome project completed, Haiti earthquake, First 3D printer invented, First airplane flight","Haiti earthquake, First radio transmission, Beowulf manuscript created, Hubble Space Telescope launched, Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First 3D printer invented, First airplane flight, Human genome project completed",1,0,gemini:gemini-2.0-flash
run_0010,Tell me the 7th event in order.,order.nth,Woodstock Festival begins,First radio transmission,First radio transmission,0,0,gemini:gemini-2.0-flash
run_0010,Harvard College Founded lasted how many days?,dur.single,23 days,23 days,23 days,1,1,gemini:gemini-2.0-flash
run_0010,Identify the longest-lasting event.,dur.longest,Haiti earthquake,Woodstock Festival begins,Haiti earthquake,0,1,gemini:gemini-2.0-flash
run_0010,Identify the shortest-lasting event.,dur.shortest,Human genome project completed,Human genome project completed,"Rwandan Genocide begins, Haiti earthquake",1,0,gemini:gemini-2.0-flash
run_0010,Did Rwandan Genocide begins or Woodstock Festival begins occur first?,order.first,Woodstock Festival begins,Woodstock Festival begins,"Woodstock Festival begins, Rwandan Genocide begins",1,0,gemini:gemini-2.0-flash
run_0010,Identify the earliest and latest events.,order.first_last,"First airplane flight, First radio transmission","First airplane flight, First radio transmission","First airplane flight, First radio transmission",1,1,gemini:gemini-2.0-flash
run_0010,Events occurring more than 5 times?,count.over_x,,,,1,1,gemini:gemini-2.0-flash
run_0010,Identify events sharing the same frequency.,count.same,"First airplane flight, First 3D printer invented, Haiti earthquake, Human genome project completed, Hubble Space Telescope launched, Beowulf manuscript created, Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First radio transmission",,,0,0,gemini:gemini-2.0-flash
run_0010,Interval between First 3D printer invented end and Woodstock Festival begins start?,int.between,135 days,136 days,10 days,1,0,gemini:gemini-2.0-flash
run_0010,Count of events in the timeline?,order.count,11,11,11,1,1,gemini:gemini-2.0-flash
run_0010,Identify the middle event chronologically.,order.middle,Beowulf manuscript created,Woodstock Festival begins,First 3D printer invented,0,0,gemini:gemini-2.0-flash
run_0010,Compute the mean event duration.,dur.average,20 days,20 days,20 days,1,1,gemini:gemini-2.0-flash
run_0010,"Which events, sorted by increasing duration, occurred?",dur.each_asc,"Human genome project completed, Rwandan Genocide begins, Beowulf manuscript created, Brexit Referendum, First 3D printer invented, First airplane flight, Harvard College Founded, Woodstock Festival begins, First radio transmission, Haiti earthquake, Hubble Space Telescope launched","Human genome project completed, Rwandan Genocide begins, Brexit Referendum, First radio transmission, Hubble Space Telescope launched, Woodstock Festival begins, Beowulf manuscript created, Haiti earthquake, Harvard College Founded, First airplane flight, First 3D printer invented","Rwandan Genocide begins, Haiti earthquake, First 3D printer invented, Harvard College Founded, First radio transmission, Hubble Space Telescope launched, Woodstock Festival begins, First airplane flight",0,0,gemini:gemini-2.0-flash
run_0010,Order the events by longest to shortest duration.,dur.each_desc,"Haiti earthquake, Hubble Space Telescope launched, First radio transmission, Woodstock Festival begins, First airplane flight, Harvard College Founded, First 3D printer invented, Beowulf manuscript created, Brexit Referendum, Rwandan Genocide begins, Human genome project completed","Woodstock Festival begins, First radio transmission, Brexit Referendum, Hubble Space Telescope launched, Haiti earthquake, Harvard College Founded, Rwandan Genocide begins, Beowulf manuscript created, Human genome project completed, First airplane flight, First 3D printer invented","Haiti earthquake, Hubble Space Telescope launched, Woodstock Festival begins, First radio transmission, First 3D printer invented, Harvard College Founded, Beowulf manuscript created, Brexit Referendum, First airplane flight, Rwandan Genocide begins",0,0,gemini:gemini-2.0-flash
run_0010,How many days separate each successive event?,int.between_consecutive,"3 days, 8 days, 11 days, 15 days, 12 days, 12 days, 1 days, 8 days, 3 days, 11 days","79 days, 42 days, 17 days, 41 days, 8 days, 39 days, 12 days, 12 days, 12 days, 12 days","4 days, 9 days, 12 days, 16 days, 13 days, 13 days, 12 days, 2 days, 9 days, 4 days",0,0,gemini:gemini-2.0-flash
run_0010,Does Rwandan Genocide begins occur before Beowulf manuscript created?,int.precedes,no,No,Yes,1,0,gemini:gemini-2.0-flash
run_0010,List the events that occur between Beowulf manuscript created and First 3D printer invented.,list.between,"Haiti earthquake, Human genome project completed, Hubble Space Telescope launched",,"Woodstock Festival begins, Harvard College Founded, Rwandan Genocide begins, Brexit Referendum, First radio transmission, First airplane flight",0,0,gemini:gemini-2.0-flash
run_0011,List the events in chronological order.,order.full,"First steam locomotive built, Light bulb patented, Bank of England founded, Mona Lisa painted, X-rays discovered, First telegraph sent, Harry Potter released, Spinning Jenny invented, HIV identified, Civil Rights Act signed, Enron files for bankruptcy","First steam locomotive built, Light bulb patented, Bank of England founded, Mona Lisa painted, X-rays discovered, First telegraph sent, Harry Potter released, Spinning Jenny invented, HIV identified, Civil Rights Act signed, Enron files for bankruptcy","First steam locomotive built, Light bulb patented, Harry Potter released, Spinning Jenny invented, HIV identified, Civil Rights Act signed, Enron files for bankruptcy, Light bulb patented, Bank of England founded, Mona Lisa painted, X-rays discovered, First telegraph sent, Harry Potter released",1,0,gemini:gemini-2.0-flash
run_0011,Provide the events from latest to earliest.,order.reverse,"Enron files for bankruptcy, Civil Rights Act signed, HIV identified, Spinning Jenny invented, Harry Potter released, First telegraph sent, X-rays discovered, Mona Lisa painted, Bank of England founded, Light bulb patented, First steam locomotive built","Enron files for bankruptcy, Civil Rights Act signed, HIV identified, Spinning Jenny invented, Harry Potter released, First telegraph sent, X-rays discovered, Mona Lisa painted, Bank of England founded, Light bulb patented, First steam locomotive built","Spinning Jenny invented, HIV identified, Civil Rights Act signed, Enron files for bankruptcy, Mona Lisa painted, X-rays discovered, First telegraph sent, Harry Potter released, Light bulb patented, Bank of England founded, First steam locomotive built",1,0,gemini:gemini-2.0-flash
run_0011,Identify the 9th event chronologically.,order.nth,HIV identified,Enron files for bankruptcy,First telegraph sent,0,0,gemini:gemini-2.0-flash
run_0011,HIV identified lasted how many days?,dur.single,29 days,29 days,29 days,1,1,gemini:gemini-2.0-flash
run_0011,Identify the longest-lasting event.,dur.longest,HIV identified,Bank of England founded,HIV identified,0,1,gemini:gemini-2.0-flash
run_0011,Which event lasted the shortest?,dur.shortest,Light bulb patented,Light bulb patented,Light bulb patented,1,1,gemini:gemini-2.0-flash
run_0011,Which of Civil Rights Act signed and Spinning Jenny invented occurred first?,order.first,Spinning Jenny invented,Spinning Jenny invented,Civil Rights Act signed,1,0,gemini:gemini-2.0-flash
run_0011,Identify the earliest and latest events.,order.first_last,"First steam locomotive built, Enron files for bankruptcy","First steam locomotive built, Enron files for bankruptcy","Harry Potter released, First telegraph sent",1,0,gemini:gemini-2.0-flash
run_0011,Events occurring more than 1 times?,count.over_x,,,,1,1,gemini:gemini-2.0-flash
run_0011,Identify events sharing the same frequency.,count.same,"First steam locomotive built, Light bulb patented, Bank of England founded, Mona Lisa painted, X-rays discovered, First telegraph sent, Harry Potter released, Spinning Jenny invented, HIV identified, Civil Rights Act signed, Enron files for bankruptcy",,,0,0,gemini:gemini-2.0-flash
run_0011,Calculate days between First telegraph sent and First steam locomotive built.,int.between,0 days,117 days,104 days,0,0,gemini:gemini-2.0-flash
run_0011,Count of events in the timeline?,order.count,11,11,10,1,0,gemini:gemini-2.0-flash
run_0011,What event sits at the midpoint of the timeline?,order.middle,First telegraph sent,Harry Potter released,First telegraph sent,0,1,gemini:gemini-2.0-flash
run_0011,What is the average duration of all events?,dur.average,17 days,18 days,20 days,1,0,gemini:gemini-2.0-flash
run_0011,Order the events by shortest to longest duration.,dur.each_asc,"Light bulb patented, Civil Rights Act signed, First steam locomotive built, Spinning Jenny invented, First telegraph sent, Bank of England founded, Harry Potter released, Enron files for bankruptcy, Mona Lisa painted, X-rays discovered, HIV identified","Light bulb patented, Civil Rights Act signed, First steam locomotive built, Bank of England founded, Spinning Jenny invented, HIV identified, Enron files for bankruptcy, First telegraph sent, Harry Potter released, Mona Lisa painted, X-rays discovered","Light bulb patented, Civil Rights Act signed, Spinning Jenny invented, First telegraph sent, Harry Potter released, Bank of England founded, Mona Lisa painted, X-rays discovered, HIV identified, First steam locomotive built",0,0,gemini:gemini-2.0-flash
run_0011,"Which events, sorted by decreasing duration, occurred?",dur.each_desc,"HIV identified, X-rays discovered, Mona Lisa painted, Bank of England founded, Harry Potter released, Enron files for bankruptcy, First telegraph sent, Spinning Jenny invented, First steam locomotive built, Civil Rights Act signed, Light bulb patented","First telegraph sent, HIV identified, Enron files for bankruptcy, Bank of England founded, Harry Potter released, Spinning Jenny invented, Mona Lisa painted, X-rays discovered, First steam locomotive built, Civil Rights Act signed, Light bulb patented","HIV identified, X-rays discovered, Enron files for bankruptcy, Mona Lisa painted, Harry Potter released, Bank of England founded, First telegraph sent, Spinning Jenny invented, Civil Rights Act signed, First steam locomotive built, Light bulb patented",0,0,gemini:gemini-2.0-flash
